2016-09-23 14:56:31 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/sessionItemContainer,2], NoSuchElementException, 弹出下一个节点任务, d797a4d51ab14add2eb5dbcb7a2cef96-0,220-1080,436-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.ViewFlipper[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.RelativeLayout[1]
2016-09-23 15:13:56 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/pluginLayout,1], NoSuchElementException, 弹出下一个节点任务, 887f223cae924d5f36e08ec31f717a0e-810,219-1080,534-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.support.v7.widget.RecyclerView[1]/android.widget.RelativeLayout[4]
2016-09-23 15:14:41 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/item_0,1], NoSuchElementException, 弹出下一个节点任务, 887f223cae924d5f36e08ec31f717a0e-0,606-540,840-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[2]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]
2016-09-23 15:15:33 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,文件夹：网银,,2], NoSuchElementException, 弹出下一个节点任务, 9ed21027e5c3be782319ffbea65f592-294,96-540,384-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.widget.LinearLayout[2]
2016-09-23 15:16:18 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,文件夹：系统工具,,2], NoSuchElementException, 弹出下一个节点任务, 9ed21027e5c3be782319ffbea65f592-540,96-786,384-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.widget.LinearLayout[3]
2016-09-23 15:17:02 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,文件夹：教育,,2], NoSuchElementException, 弹出下一个节点任务, 9ed21027e5c3be782319ffbea65f592-786,96-1032,384-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.widget.LinearLayout[4]
2016-09-23 15:17:50 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,2], NoSuchElementException, 弹出下一个节点任务, 9ed21027e5c3be782319ffbea65f592-48,384-294,672-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.widget.LinearLayout[5]
2016-09-23 15:18:35 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,2], NoSuchElementException, 弹出下一个节点任务, 9ed21027e5c3be782319ffbea65f592-294,384-540,672-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.widget.LinearLayout[6]
2016-09-23 15:19:21 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,文件夹：购物,,2], NoSuchElementException, 弹出下一个节点任务, 9ed21027e5c3be782319ffbea65f592-540,384-786,672-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.widget.LinearLayout[7]
2016-09-23 15:20:08 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,文件夹：生活,,2], NoSuchElementException, 弹出下一个节点任务, 9ed21027e5c3be782319ffbea65f592-786,384-1032,672-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.widget.LinearLayout[8]
2016-09-23 15:20:52 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,2], NoSuchElementException, 弹出下一个节点任务, 9ed21027e5c3be782319ffbea65f592-48,672-294,960-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.widget.LinearLayout[9]
2016-09-23 15:21:38 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,2], NoSuchElementException, 弹出下一个节点任务, 9ed21027e5c3be782319ffbea65f592-294,672-540,960-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.widget.LinearLayout[10]
2016-09-23 15:22:24 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,2], NoSuchElementException, 弹出下一个节点任务, 9ed21027e5c3be782319ffbea65f592-540,672-786,960-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.widget.LinearLayout[11]
2016-09-23 15:23:09 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,2], NoSuchElementException, 弹出下一个节点任务, 9ed21027e5c3be782319ffbea65f592-786,672-1032,960-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.widget.LinearLayout[12]
2016-09-23 15:23:56 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,2], NoSuchElementException, 弹出下一个节点任务, 9ed21027e5c3be782319ffbea65f592-48,960-294,1248-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.widget.LinearLayout[13]
